timestamp,src_ip,dst_ip,dst_port,protocol,flag,tipo_ataque
2025-04-13 22:18:25,192.168.0.13,Múltiples,0,TCP/UDP,N/A,DDoS Distribuido (Clasificación_ML)
2025-04-14 09:08:47,192.168.0.13,Múltiples,0,TCP/UDP,N/A,DDoS Distribuido (Clasificación_ML)
2025-04-14 09:22:32,192.168.0.13,Múltiples,0,TCP/UDP,N/A,DDoS Distribuido (Clasificación_ML)
2025-04-14 09:33:17,192.168.0.4,239.255.255.250,1900,UDP,N/A,Conexión no permitida (Clasificación_ML)
2025-04-14 09:33:19,149.154.167.220,192.168.0.13,52856,TCP,SA,Conexión no permitida (Clasificación_ML)
2025-04-14 09:33:20,192.168.0.4,192.168.0.255,22222,UDP,N/A,Conexión no permitida (Clasificación_ML)
2025-04-14 09:33:22,192.168.0.4,192.168.0.255,22222,UDP,N/A,Conexión no permitida (Clasificación_ML)
2025-04-14 09:33:23,149.154.167.220,192.168.0.13,52864,TCP,FA,Conexión no permitida (Clasificación_ML)
2025-04-14 09:33:25,149.154.167.220,192.168.0.13,52865,TCP,FA,Conexión no permitida (Clasificación_ML)
2025-04-14 09:33:26,149.154.167.220,192.168.0.13,52866,TCP,SA,Conexión no permitida (Clasificación_ML)
2025-04-14 09:33:27,149.154.167.220,192.168.0.13,52866,TCP,A,Conexión no permitida (Clasificación_ML)
2025-04-14 09:33:29,192.168.0.17,224.0.0.251,5353,UDP,N/A,Conexión no permitida (Clasificación_ML)
2025-04-14 09:33:30,149.154.167.220,192.168.0.13,52874,TCP,FA,Conexión no permitida (Clasificación_ML)
2025-04-14 09:33:31,149.154.167.220,192.168.0.13,52875,TCP,FA,Conexión no permitida (Clasificación_ML)
2025-04-14 09:33:33,149.154.167.220,192.168.0.13,52877,TCP,SA,Conexión no permitida (Clasificación_ML)
2025-04-14 09:33:34,192.168.0.5,224.0.0.251,5353,UDP,N/A,Conexión no permitida (Clasificación_ML)
2025-04-14 09:33:36,192.168.0.10,224.0.0.251,5353,UDP,N/A,Conexión no permitida (Clasificación_ML)
